Id,Transcription
115,K_IH_M_AH_N_OW_Z
116,G_AH_Z_AA_F_S_K_IY
117,HH_AH_D_AH_L_D
118,CH_IH_R_L_IY_D_IH_NG
119,IH_G_Z_AE_K_T
120,IH_N_AH_D_V_ER_T_AH_N_T
121,V_EH_N_T_UH_R_IY_N_IY
122,Z_IY_S_AH_M_ER
123,L_UW_B_AH
124,D_IH_F_ER_AH_N_S_IH_Z
125,V_EH_R_AH_N_IH_S
126,S_T_EH_T_Z_ER
127,R_AY_G_AH_L_ER
128,HH_AA_B_IY_IH_S_T_S
129,L_UW_M_Y_AH
130,L_IY_AE_S_AH_N
131,S_UW_L
132,IH_M_P_EH_R_IH_NG
133,F_ER_Z
134,B_OW_L_Z
135,S_IH_G_N_IH_F_IH_K_AH_N_T
136,AE_L_B_ER_TH_AH_L
137,SH_AO_R_T_IH_JH_IH_Z
138,K_AH_CH_ER
139,W_EH_S_T_ER_G_AA_R_D
140,M_AH_L_T_IY_P_L_EH_K_S_ER
141,AO_R_IY_EH_N_T_EY_T_IH_D
142,G_L_IY_S_AH_N
143,IH_N_T_EH_L_IH_K_AH_L
144,IH_G_L_EY_ZH_Y_AH
145,K_OW_N_AH_N
146,R_AA_B_AH_N_S_AH_N_Z
147,IH_N_SH_AO_R
148,SH_R_AH_B_L_AY_K
149,JH_AW_L_Z
150,S_T_AO_R_HH_AW_S
151,P_AA_R_T_N_ER_Z
152,M_EH_HH_AH_T_AH_B_AH_L
153,K_R_IH_S_CH_AH_N_IH_Z_EY_SH_AH_N
154,F_L_AO_R_AH
155,T_EH_R_ER
156,B_EH_L_M_OW_N_T_IY
157,R_AY_B_AH_K_AA_V_Z
158,G_AO_R_N_IH_K
159,S_AH_M_ER_V_IH_L
160,R_IH_F_R_EY_N_IH_NG
161,G_IY_Z_AH
162,F_EY_Z
163,M_IH_D_T_ER_M_Z
164,HH_AE_V_AH_L
165,T_IY_L
166,AA_R_AA_P_AA_HH_OW
167,D_IH_F_AY_N_AH_B_AH_L
168,HH_AE_G_AH_L_D
169,K_L_IH_K
170,EH_N_T_R_AH_N_T_S
171,W_UH_L_K_AA_K
172,P_L_EH_Z_AH_N_T_L_IY
173,AY_S_AH
174,G_AA_B_ER_T
175,EH_R_B_EY_S_IH_Z
176,D_IH_S_ER_N_D
177,R_OW_M
178,K_EY_S_T
179,HH_AA_P_S
180,M_AE_N_IH_G_AH_T
181,F_AO_R_TH_W_IH_TH
182,V_IH_S_N_EH_F_S_K_IY
183,P_AH_D_OW_L_S_K_IY
184,G_W_AA_N_AA_K_OW
185,B_AE_L_AH_D_ER
186,TH_EY_L_AH_N_D_Z
187,AH_B_L_IH_T_ER_EY_T_IH_D
188,F_IY_K_T_ER
189,L_EH_V_IH_NG_Z
190,N_IH_D_OW
191,CH_AA_R_L_IY
192,W_AY_L_D_ER_M_AH_N
193,W_IH_T_IH_D
194,IH_N_K_ER_ZH_AH_N_Z
195,L_IY_S_IH_Z
196,N_AA_R_D_IY
197,K_AA_R_L
198,HH_EH_R_AH_D_Z
199,AH_N_R_IY_D_AH_B_AH_L
200,R_IY_S_AY_T_AH_D
201,W_AO_K_ER
202,N_EH_G_R_OW_P_AA_L_P_AH_S
203,R_EH_Z_ER_V_EY_SH_AH_N
204,K_AA_K_AY_D
205,S_W_AY_T_S_ER
206,L_AO_R_IY_EY_T
207,SH_AA_R_F
208,S_T_EY_ER
209,D_IY_K_AH_M_P_AH_Z_IH_SH_AH_N
210,K_AO_R_T_IH_NG
211,TH_R_EH_SH_OW_L_D_Z
212,B_IY_B_AW_T
213,P_L_EY_K_EY_T
214,AA_R_D_ER
215,JH_EH_N_SH_AH
216,M_EH_M_T_EH_K
217,S_AH_M_ER_V_IH_L
218,F_L_AO_R_IY_AH
219,R_AY_S_T_ER
220,AE_L_K_AE_S_AH
221,G_R_AE_N_D_M_AH_DH_ER_L_IY
222,K_AE_N_AH_B_AH_L_Z
223,L_EY_T_AH_N_Z
224,K_W_IY_Z_IY_N
225,JH_IH_F_IY
226,M_UW_M_IY
227,L_AH_G_W_ER_M
228,HH_OY_N_AA_T_S_K_IY
229,R_IH_V_ER
230,SH_AH_M_IH_R
231,D_EH_N_IH_M
232,D_AH_L_S
233,HH_EH_R_AH_L_D_IH_NG
234,S_T_AY_N_B_R_IH_NG_K
235,M_AA_L_EH_K
236,AE_R_IH_S_AH_N
237,D_IH_L_M_AH_N
238,M_AA_R_G_AH_L_AA_V
239,V_EH_K_IY_OW_N_IY
240,K_L_IH_K_S
241,D_AY_AE_N
242,B_ER_T_IH_S
243,K_AH_Z_IH_N_S_K_IY
244,EH_S_CH_UW_EH_R_IY_Z
245,M_AA_R_SH_M_AH_N
246,P_R_EH_N_T_N_IY_K_S
247,G_L_EH_N_D_EH_N_IH_NG
248,B_ER_OW
249,OW_M_AH_N_Z
250,B_UH_L_D_AO_G
251,T_EH_S_L_IH_K
252,S_P_R_AE_G
253,P_EY_OW_L_AH
254,B_L_AE_K_AH_N
255,K_AE_S_G_R_EY_N
256,OW_F_AE_R_AH_L
257,F_IH_NG_K
258,M_IH_L_ER_IH_K
259,P_OW_L_ER_AY_Z
260,EH_R_AH_B_AE_T_IH_K_S
261,T_R_EY_Y_OW
262,V_OW_D_AA_F_OW_N
263,S_W_EH_R_IH_NG_AH_N
264,CH_AE_P_AH_L
265,K_L_AY_AE_N_TH_AH
266,B_R_UW_M_ER
267,CH_IY_K_T_OW_W_EY_G_AH
268,L_EH_N_AH_N
269,L_IH_S_K
270,K_L_AY_ER
271,S_P_AO_R_T_S_M_IH_N
272,T_OW_L_B_ER_T
273,D_EH_L_AH_M_Z
274,B_R_AH_SH_IH_Z
275,L_EY_B_ER_ER
276,IH_N_V_EH_N_T_IH_V
277,R_EH_D_S_K_IH_N_Z
278,B_EH_L_K_AO_R_Z
279,S_W_EH_T_W_AO_T_ER
280,AE_NG_K_ER
281,AH_N_D_IH_F_IY_T_AH_D
282,L_AE_N_F_ER
283,M_AH_D_W_AO_G_AH_N
284,S_T_EH_D_IY
285,T_IH_G_N_ER
286,T_AY_S_EH_L_F
287,V_ER_S_IH_CH_ER_AH_NG_Z
288,F_AO_R_K_IY
289,JH_OY_N_ER
290,B_R_AW_N_IH_NG_Z
291,M_OW_AH_T
292,R_IH_F_R_IH_JH_ER_EY_T_IH_D
293,SH_UW_L_HH_AO_F
294,CH_IY_OW_L_IY_N_OW
295,HH_AE_N_AH_HH_AE_N
296,EH_K_OW_G_R_AE_F_IY
297,V_AE_N_D_AH_V_UH_R_T
298,IH_V_OW_K
299,M_EY_N_IY
300,D_EY_N
301,CH_IY_Z
302,S_K_ER_T
303,AA_L_G_AY_R
304,R_AH_P_EY_SH_AH_S
305,B_OY_K
306,M_AA_R_T_EH_L
307,IH_N_F_AO_R_M_AH_N_T
308,K_AA_R_L_OW
309,HH_IY_M_AH_F_IH_L_IY_AE_K
310,M_EH_R_IY_Z
311,S_P_IY_L_OW_T_R_OW
312,T_AA_K_AA_K_IY
313,G_AY_D_B_UH_K_S
314,K_AH_N_F_AO_R_M_AH_S_T
315,P_L_EY_S_IH_NG
316,K_EY_B_IY
317,AE_M_F_IH_B_IY_AH_N_Z
318,AH_K_AA_M_P_L_AH_S
319,P_R_AA_B_ER_T
320,HH_IH_P_N_AH_T_AY_Z_D
321,P_EH_R_AH_D_AO_R
322,D_IH_S_EH_N_AH
323,T_EH_S_T_AH_F_AY_D
324,N_OW_Z_W_ER_DH_IY
325,K_AH_R_UW_DH_ER_Z
326,S_IY_D
327,Y_EH_L_OW_Z
328,JH_EH_R_AH_L_D_IY_N_AH
329,AA_B_IY_OW
330,P_L_AH_N_JH_IH_NG
331,AE_SH_ER
332,K_AH_T_AA_N_OW
333,L_UW_IH_NG
334,R_IY_V_AH_S
335,EY_D_AH_N
336,G_R_IY_M_AA_L_D_OW
337,K_AH_N_S_EH_N_T_AH_D
338,R_AY_L_IY
339,B_EH_K_IH_N_Z
340,B_EY_ER_AH_L
341,W_IH_L_HH_AH_M
342,D_EH_B_AH_V_W_UW
343,HH_AA_N_OW_L_D
344,K_ER_OW_D_Z
345,M_AA_N_IH_S_AH_M_Z
346,TH_AA_R_P_S
347,P_R_EH_JH_AH_D_IH_S
348,K_EH_R_G_IH_V_ER
349,R_AH_NG
350,N_EY_G_AH_L
351,S_UW_ER_Z
352,K_UW_JH_IY
353,B_OY_S_AH_N
354,G_UW_L_IY
355,R_IY_AH_L_AY_Z_D
356,R_OW_Z_AH_M_AA_N_D
357,JH_UW_AH_HH_AA_M_AH
358,D_AH_M_B_R_AO_F_S_K_IY
359,F_AY_N_T
360,AO_R_T_M_AH_N
361,TH_IH_K_AH_N_Z
362,P_L_UH_R_AH_L_AY_Z
363,F_AY_R_D_AE_M_P
364,B_AH_K_IH_NG_HH_AE_M
365,T_R_IH_L_B_IY
366,P_R_AA_D
367,F_AA_D_ER
368,K_AE_L_IH_F_AO_R_N_Y_AH_N_Z
369,F_EH_L_D_B_L_AH_M
370,L_IH_S_IY_AE_K
371,IH_L_UW_D_IH_NG
372,L_AA_B_IH_NG
373,B_L_IH_R_IY
374,W_AO_L_B_ER_N
375,B_ER_OW_Z
376,V_EH_L_AE_S_K_EH_Z
377,R_EH_D_IH_G_ER
378,B_R_IH_S_T_AW
379,S_P_R_IH_NG_K_L_ER
380,M_ER_K_AO_F_S_K_IY
381,D_AY_AE_N_DH_IY_AH
382,S_IY_T_ER
383,D_EH_B_R_IY_F
384,M_AY_K_EH_L_IY_Z
385,V_AE_N_K_AA_T
386,AH_N_D_ER_W_AH_N_T
387,S_ER_L_Z
388,F_AE_L_K_AH_N_ER
389,R_AY_L_IH_NG
390,L_IY_B_ER_AA_T_AO_R_IY
391,D_IH_S_B_ER_M_AH_N_T
392,G_IH_S_B_ER_T
393,IH_N_S_P_IY_CH
394,B_EH_N_L_EY_T
395,F_EH_S_T_IH_V_IH_T_IY_Z
396,G_UH_D_L_IY
397,K_IY_CH
398,N_AA_N_P_AE_S_IH_F_IH_S_T_S
399,F_AY_N_AE_N_SH_AH_L_Z
400,K_AH_N_Z_L_ER
401,T_EH_R_AH_R_AY_Z_D
402,HH_ER_SH
403,V_IH_D_IY_OW_F_OW_N
404,T_EH_N_K_EH_R
405,B_R_AY_B_Z
406,HH_AH_N_S_IH_NG_ER
407,T_AO_R_CH_ER
408,HH_EH_R_D_AH
409,N_IY_D_AH_L_IH_NG
410,S_AW_N_D_AH_S_T
411,S_AW_TH_M_AA_R_K_S
412,K_ER_SH_N_ER
413,M_IY_T_S_UW_K_OW_SH_IY
414,M_AO_R_G_IH_N_S_T_ER_N
415,EH_M_IH_L_OW_Z
416,M_AA_D_ER_AH_T_L_IY
417,HH_AE_S_IH_N_F_EH_L_D
418,F_IH_R_D
419,AE_D_K_IH_N_Z
420,G_W_EH_V_AA_R_AH
421,M_IY_D_IY_EY_T_ER_Z
422,L_AA_R_JH
423,AH_N_D_ER_P_ER_F_AO_R_M
424,IH_N_F_OW_M_ER_SH_AH_L_Z
425,K_R_AH_CH_IH_Z
426,HH_AA_R_G_IH_S
427,K_EY_V_IH_NG
428,F_R_AA_N_Y_OW
429,L_AO_L_IY_ER
430,M_AE_NG_K_OW
431,R_IY_F_IH_T_IH_D
432,G_AA_L_F_EH_D
433,T_R_AE_N_S_EH_K_T
434,IH_N_T_EH_M_P_ER_EY_T
435,M_AA_R_SH_AH_L_IH_NG
436,M_OY_L_AH_N_AH_N
437,M_AA_R_K_W_AH_R_AY_T
438,D_IY_T_ER_Z
439,D_AW_N_S_AY_Z_IH_NG
440,IH_K_AA_N_AH_M_IH_K_L_IY
441,P_L_AH_B_IH_S_IH_T
442,W_AO_R_L_AO_K
443,B_L_UW_M
444,HH_AE_M_IH_SH
445,T_R_AE_F_AH_L_G_ER
446,P_R_AH_N_AW_N_S_IH_NG
447,S_W_EH_D_L_AH_N_D
448,K_L_AY_M_D
449,T_EH_M_P_T_EY_SH_AH_N
450,IH_N_S_EY_N
451,N_IH_K_AH_L_AY
452,S_K_AH_L_IY
453,K_EH_R_IY_AH_N_Z
454,JH_EH_N_AH_S_AH_N_F_S_K_AE_N_T_IH_NG
455,M_IH_K_L_ER
456,G_UH_D_B_R_EH_D
457,M_EH_V_AH_K_AO_R
458,JH_ER_N_AH_L_IH_S_T_IH_K
459,AH_B_Y_UW_S_ER
460,AA_R_N_AA_K_S
461,JH_AA_K_IY_N_T_OW
462,S_K_OW_L_N_IH_K
463,V_EH_N_T_OW
464,M_ER_K_AH_N_T_IH_L
465,G_EY_N
466,B_AH_Z_W_ER_D
467,K_UH_K_AH_L_ER
468,M_AO_L_T_S_B_IY
469,D_IH_S_P_EH_N_S_AH_B_AH_L
470,L_OW_V_AA_T_OW
471,S_AE_NG_K_T_AH_F_AY
472,T_AE_L_B_AH_T
473,T_EH_B_AH_N
474,M_AA_N_T_S
475,D_IH_S_AE_N_T_OW
476,L_AY_S_AH_N_S_T
477,EH_T_IH_NG_ER
478,K_AE_N_Z_AH_N_Z
479,M_AE_S_K_Y_AH_L_IH_N
480,P_AA_K_AH_T_F_AH_L
481,M_Y_UW_Z_IY_AH_L
482,EH_M_ER_S_AH_N
483,T_AH_F_T_L_AY_K
484,G_Y_UW_N_IY_AH
485,T_R_IH_CH
486,G_EH_K_OW
487,B_IH_B_Z
488,S_AW_N_D_Z
489,B_EY
490,HH_AO_NG_K_IY
491,V_IH_Z_AH_T_EY_SH_AH_N
492,R_IY_L_AY_AH_N_S_IH_Z
493,SH_OW_M_EY_K_ER
494,P_AY_N_D_ER
495,AH_N_K_R_IH_T_IH_K_AH_L
496,TH_AE_D_AH
497,M_AE_D_K_AE_P
498,CH_EH_K_M_EY_T
499,T_R_EY_D_Z
500,HH_EH_R_OW_Z
501,S_T_IH_F_AE_N_S_K_IY
502,S_W_IY_P_IH_NG
503,D_IH_K_IH_S_AH_N
504,JH_IY_AH_G_R_AE_F_IH_K
505,D_AW_T_S
506,T_AO_R_CH_ER_AH_S
507,P_ER_TH
508,K_AA_N_T_R_AH
509,P_AO_R_T_AO_R_P_R_IH_N_S
510,L_EH_S_M_AY_S_T_ER
511,D_EY_L_P
512,G_AH_S_IH_N_S_K_IY
513,M_ER_L_EH_T_IY
514,K_L_EH_M_AH_N_Z
515,K_AE_P_T_AH_N_Z
516,ER_EY_Z
517,F_ER_N_IH_S
518,M_AY_ER
519,L_IY_M
520,G_R_UH_N_W_AO_L_D
521,F_EH_L_IH_M
522,P_R_OW_M_IH_S_K_Y_UW_AH_S
523,IH_G_Z_AE_JH_ER_EY_T_IH_NG
524,K_L_EY_B_AO
525,S_W_IY_T
526,K_AA_R_M_AY_K
527,B_EH_L_D_IH_N
528,HH_OY_AH_M
529,P_EH_L_IH_K_AH_N
530,AA_S_AH_L_AH_T_AO_R_IY
531,Y_UW_V_IH_L
532,F_EY_T_AH_L_IH_Z_AH_M
533,T_UW
534,K_AO_R_IY
535,D_AY_K_OW_M_D
536,B_AA_N_IY_Z
537,K_AH_L_ER_AA_K_S
538,R_UW_N_Y_AH_N
539,AH_P_R_OW_P_R_IY_EY_T_ER
540,Z_IH_B_R_AO_F_S_K_IY
541,V_AE_N_W_IY
542,M_AE_L_OY
543,G_R_IY_V_ER
544,P_ER_F_EH_K_SH_AH_N
545,T_R_UW_L_AA_K
546,S_AH_N_S_K_R_IY_N
547,AH_M_OW_N_IY_AH_M
548,IH_N_AO_R_G_AE_N_IH_K
549,P_AA_R_T_AH_N
550,HH_ER_N_AA_N_D_OW
551,G_IH_L_B_OW
552,P_ER_S_UW_D
553,G_R_AE_B_ER_T
554,D_AY_AH_T_S
555,K_AA_L_IH_NG
556,M_AE_D_R_IH_D
557,AH_N_S_P_AO_R_T_S_M_AH_N_L_AY
558,R_AH_F_L_IY
559,F_Y_UW_Z_AH_B_AH_L
560,K_AA_P_IY_R_AY_T_S
561,B_OW_K_AH
562,P_L_IY_AH_M_AO_R_F_IH_Z_AH_M
563,IH_N_T_EH_L_IH_JH_AH_B_AH_L
564,S_M_AA_G_IY
565,OW_V_ER_S_IH_M_P_L_IH_F_AY_IH_NG
566,K_EH_R_AH_M
567,P_AA_P_ER_Z
568,R_IY_T_EY_L_IH_NG
569,S_AO_R_IY
570,JH_EH_T_S_T_R_IY_M_Z
571,AE_N_T_HH_IH_L_Z
572,M_AA_R_K_W_AA_R_D
573,HH_AO_N
574,TH_AE_L_HH_AY_M_ER
575,K_AH_P_OW_B_IY_AA_NG_K_OW
576,L_UW_D_OW
577,D_IH_S_EH_N_D_IH_D
578,S_IH_G_ER
579,P_ER_P_EH_CH_AH_W_EY_SH_AH_N
580,P_L_EH_CH_ER
581,EH_P_AH_G_R_AE_M
582,AY_L_AH_N_D_ER
583,S_T_AE_F_IH_R_IY
584,K_AA_R_T_UW_N_IH_NG
585,S_W_EH_T_M_AH_N
586,HH_Y_UW_M_ER_L_AH_S
587,S_AO_S_P_AE_N
588,D_IH_L_AH_JH_AH_N_S
589,AH_S_EH_S_M_AH_N_T
590,R_IH_CH_ER_S_AH_N
591,P_R_OW_R_AA_K
592,HH_AH_S_K_IY_Z
593,F_OW_K_AH_S_IH_NG
594,N_EH_V_AH_L
595,M_EY_K_AH_P
596,K_Y_UW_L_EH_SH_AH
597,R_IY_EH_K_S_P_AO_R_T
598,HH_EH_M_AH_G_L_AA_B_IH_N
599,W_AO_R_T
600,S_W_EH_T_P_AE_N_T_S
601,M_AE_N_JH_IY
602,M_UW_N_S_T_OW_N
603,K_AO_R_Z
604,AE_L_B_AH_M
605,SH_EH_R_HH_OW_L_D_IH_NG
606,M_AH_S_K_Y_AH_L_AH_CH_ER
607,M_IH_N_IY
608,EH_R_AH
609,V_IH_P
610,F_L_AE_DH_ER_Z
611,V_AH_N_EH_L_AH
612,G_R_AE_F
613,L_EY_T
614,T_AH_N_AH_JH_IH_Z
615,T_AA_V_EH_R_N_AH
616,T_EH_R_IY
617,HH_ER_B_ER_T_S
618,K_AE_TH_R_IH_N_Z
619,N_EH_S_T_AO_R_IY_AH_N
620,AE_N_D_R_IH_Z_UW_EH_S_K_IY
621,JH_AA_R_OW_S
622,G_AO_R_L_IH_T_S
623,B_EY_N
624,L_UW_N_AH_N_B_ER_G
625,CH_EY_M_B_ER_Z_IH_Z
626,SH_AH_L_D_IH_N_ER_Z
627,P_AH_N_AA_B_S_K_AA_T
628,HH_AY_D_R_OW_S_AH_L
629,P_OY_N_T_S
630,Y_AH_N_IY_N_AH
631,T_AE_SH_JH_IY_N
632,T_AA_L_IH_S_AH_N
633,M_AO_R_G_AH_N_S_T_ER_N
634,W_IH_D_OW_Z
635,M_IY_T_S_UW_B_IY_SH_IY
636,M_EH_T_R_IH_K
637,S_L_AE_T_ER
638,IH_NG_G_R_AH_M
639,AO_R_T_IH_S
640,P_AA_S_AH_M
641,N_IH_K_EH_T
642,IH_R_EH_K_AH_N_S_AH_L_AH_B_AH_L
643,L_AY_B_R_EH_R_IY_Z
644,S_IH_D_IH_K
645,K_AA_N_K_AO_R_D_IY
646,B_IY_L_AH_T
647,B_UW_B
648,W_ER_K_F_L_OW_Z
649,P_ER_P_EH_CH_UW_AH_L
650,K_AO_L_ER_Z
651,D_AY_AE_N_JH_EH_L_OW
652,D_UW_B_R_AO_V_IH_NG_K
653,S_AA_L_V_IY_AH
654,S_EY_B_ER
655,D_IH_S_AO_R_G_AH_N_IH_Z_EY_SH_AH_N
656,K_W_IH_M_B_IY
657,W_IH_T
658,K_W_AO_R_T_ER_Z
659,B_R_AA_K_S
660,P_AA_R_CH_T
661,HH_AY_D
662,HH_AH_T_Z_AH_L
663,S_T_AA_L_ER
664,AY_S_AH_M_ER_Z
665,K_AE_V_ER_N_AH_S
666,D_EY_L
667,K_R_IH_S_T_IY_N_AH
668,G_AH_N_D_ER_S_AH_N
669,L_AE_W_EH_D
670,F_AO_R_M_Y_UW_L_AH_Z
671,AE_N_T_OW_N_IY_AH_S
672,T_AO_R_IY_AH_N
673,OW_V_ER_D_OW_S_IH_Z
674,W_ER_T_S
675,B_AH_L_UW_K_AH_S
676,IH_K_S_K_L_EY_M_Z
677,CH_EY_F_S
678,P_R_IY_R_OW_G_AH_T_IH_V
679,AE_L_B_R_IH_K_T
680,F_AH_N_AE_T_IH_K
681,S_AA_R_D_IH_N_HH_AH
682,F_IH_N_L_IY
683,K_AH_F_AO_V_ER
684,AH_N_D_ER_M_AH_N
685,HH_ER_N_IY_AH
686,W_AY_P
687,EH_V_AH_N_S
688,K_AA_R_T_EH_R_AH
689,EH_L_S_AE_S_ER
690,B_AH_K_M_AH_N
691,W_AO_S_M_AH_N
692,P_IH_L_Z_B_ER_IY_Z
693,M_IY_Y_AA_SH_IY_R_OW
694,AO_R_T_EY_G_AH_Z
695,P_L_EH_R
696,IH_K_S_P_EH_N_D_AH_CH_ER
697,AE_N_D_OW
698,S_T_UW_L_Z
699,W_AO_L_G_R_EH_N
700,D_AA_M
701,F_AW_N_D_IH_NG
702,AO_L_S_EH_T
703,S_EH_K_Y_AH_L_ER
704,B_UH_L_D_OW_Z_ER
705,D_OW_S_ER
706,AA_R_L_IH_NG_T_AH_N
707,IY_JH_IH_P_T_AA_L_AH_JH_IY
708,L_AO_NG_IH_NG_Z
709,HH_AO_R_N_B_OW_S_T_AH_L
710,N_UW_K_S_K_OW
711,JH_EH_R_IY
712,F_R_AE_NG_K_F_ER_T_ER
713,L_AE_N_D_IH_S_B_AE_NG_K
714,S_IH_N_S_AH_L
715,HH_AA_S_P_IH_T_AH_L_Z
716,K_AA_L_V_OW
717,OW_V_ER_IH_K_S_T_EH_N_D
718,K_R_AE_SH_IH_Z
719,P_ER_K_AH_L
720,M_IH_CH_AH_L_Z
721,W_AY
722,AH_T_AY_ER_D
723,P_AE_K
724,P_L_EY_JH_ER_IH_Z_AH_M
725,IH_K_S_K_L_UW_D_Z
726,AW_T_S_EH_L_IH_NG
727,M_AH_K_AE_N_AH
728,EH_D_AH_N
729,L_ER_EY_SH_AH_N
730,Y_UW_S_R_IY
731,F_EH_R_IH_Z
732,T_EY_Y_AA_Z
733,AH_L_IH_R_IY_OW
734,HH_OW_K
735,N_IH_K_L_AH_S
736,B_AA_L_D_ER_AA_M_AH
737,HH_AE_B_IH_T_UW_Z
738,S_W_IH_M
739,M_W_AA_R
740,B_R_UW_IH_N
741,F_IH_K_S_AH_T_IH_V_Z
742,Z_AA_R_EH_L_AH
743,D_IH_S_AY_F_ER_IH_NG
744,R_UW_D_IY
745,S_K_R_AA_G_IH_N
746,HH_AY_F_IY_L_D
747,V_AE_N_D_AH_V_AH_N
748,AE_K_S_EH_S_ER_AY_Z_D
749,AA_R_M_B_AE_N_D
750,T_IH_B_IH_D_OW
751,HH_AH_D_M_AH_N
752,S_L_OW_K_AH_M
753,M_OW_HH_AY_L_IY_AE_N_IY
754,HH_AH_SH_K_AH
755,AW_T_G_EY_N_D
756,F_IH_K_IH_T
757,HH_AH_L_S_L_AE_N_D_ER
758,B_EH_T_S_IY_Z
759,HH_EH_N_R_IY_K_EY
760,AW_T_L_AY_N_D
761,T_IY_L_AH_S
762,M_EH_R_IH_K_S
763,G_AA_D
764,P_R_IY_Z
765,IH_V_AE_L_IY_N
766,F_EH_T_ER_M_AH_N
767,S_L_IY_P_AH_L_IY
768,B_ER_F_AY_N_D
769,K_L_IH_NG_K
770,S_AH_F_IY_L_D_Z
771,T_UH_R_EH_T
772,B_EY_N
773,S_T_AY_M_AE_K
774,R_EH_K_AH_N
775,AA_R_B_EH_L_AH
776,AO_R_AH_B_EH_L
777,AH_N_IH_N_V_AA_L_V_D
778,S_AE_T_ER_D_IY
779,D_IH_Z_IH_S_T
780,N_EH_R_Z
781,HH_IH_L_M_ER
782,P_EY_S_ER
783,K_AE_N_D_AH_S
